LotArea,OverallQual,YearBuilt,FullBath,BedroomAbvGr,SalePrice
8450,7,2003,2,3,208500
9600,6,1976,2,3,181500
11250,7,2001,2,3,223500
9550,7,1915,1,3,140000
14260,8,2000,2,4,250000
14115,5,1993,1,1,143000
10084,8,2004,2,3,307000
10382,7,1973,2,3,200000
6120,7,1931,2,2,129900
7420,5,1939,1,2,118000
11200,5,1965,1,3,129500
11924,9,2005,3,4,345000
12968,5,1962,1,2,144000
10652,7,2006,2,3,279500
10920,6,1960,1,2,157000
6120,7,1929,1,2,132000
11241,6,1970,1,2,149000
10791,4,1967,2,2,90000
13695,5,2004,1,3,159000
7560,5,1958,1,3,139000
14215,8,2005,3,4,325300
7449,7,1930,1,3,139400
9742,8,2002,2,3,230000
4224,5,1976,1,3,129900
8246,5,1968,1,3,154000
14230,8,2007,2,3,256300
7200,5,1951,1,3,134800
11478,8,2007,2,3,306000
16321,5,1957,1,2,207500
6324,4,1927,1,1,68500
8500,4,1920,1,3,40000
8544,5,1966,1,3,149350
11049,8,2007,2,3,179900
10552,5,1959,1,4,165500
7313,9,2005,2,2,277500
13418,8,2004,3,4,309000
10859,5,1994,1,3,145000
8532,5,1954,1,3,153000
7922,5,1953,1,3,109000
6040,4,1955,2,2,82000
8658,6,1965,2,3,160000
16905,5,1959,1,2,170000
9180,5,1983,1,2,144000
9200,5,1975,1,3,130250
7945,5,1959,1,3,141000
7658,9,2005,2,2,319900
12822,7,2003,1,1,239686
11096,8,2006,2,3,249700
4456,4,1920,2,2,113000
7742,5,1966,1,3,127000
13869,6,1997,2,3,177000
6240,6,1934,1,3,114500
8472,5,1963,1,2,110000
50271,9,1981,0,0,385000
7134,5,1955,1,3,130000
10175,6,1964,2,3,180500
2645,8,1999,2,3,172500
11645,7,2004,2,3,196500
13682,10,2006,3,3,438780
7200,5,1972,1,2,124900
13072,6,2004,1,3,158000
7200,5,1920,1,3,101000
6442,8,2006,2,2,202500
10300,7,1921,2,3,140000
9375,7,1997,2,3,219500
9591,8,2004,2,4,317000
19900,7,1970,2,3,180000
10665,7,2003,2,3,226000
4608,4,1945,1,2,80000
15593,7,1953,2,3,225000
13651,7,1973,2,3,244000
7599,4,1982,1,2,129500
10141,7,1998,2,3,185000
10200,5,1954,1,3,144900
5790,3,1915,2,3,107400
1596,4,1973,1,2,91000
8475,4,1956,1,2,135750
8635,5,1948,1,2,127000
10778,4,1968,2,4,136500
10440,5,1910,1,2,110000
13000,6,1968,2,4,193500
4500,6,1998,2,2,153500
10206,8,2007,2,3,245000
8892,5,1960,1,3,126500
8530,7,1995,2,3,168500
16059,8,1991,2,4,260000
11911,6,2005,2,3,174000
3951,6,2009,2,2,164500
8470,3,1915,1,2,85000
8070,4,1994,1,3,123600
7200,4,1950,1,2,109900
8500,5,1961,1,2,98600
13360,5,1921,1,2,163500
7200,6,1910,2,4,133900
9337,6,1997,2,3,204750
9765,6,1993,2,3,185000
10264,7,1999,2,3,214000
10921,4,1965,1,3,94750
10625,5,1920,1,2,83000
9320,4,1959,1,3,128950
10603,6,1977,2,3,205000
9206,6,1985,2,3,178000
7018,5,1979,2,4,118964
10402,7,2009,2,3,198900
7758,7,1931,1,4,169500
9375,8,2003,2,3,250000
10800,4,1885,1,2,100000
6000,5,1948,1,2,115000
8500,5,1919,2,3,115000
11751,6,1977,2,3,190000
9525,6,1954,2,4,136900
7750,7,2000,2,3,180000
9965,7,2007,2,4,383970
21000,6,1953,2,3,217000
7259,6,1945,2,3,259500
3230,6,1999,2,2,176000
11616,5,1962,1,3,139000
8536,5,2006,1,2,155000
12376,7,1990,3,5,320000
8461,6,2005,2,3,163990
21453,6,1969,1,1,180000
